municipality,country,nielsen
Lennik,Belgium,Nielsen II
Lens,Belgium,Nielsen IV
Leopoldsburg,Belgium,Nielsen II
Le Rœulx,Belgium,Nielsen IV
Les Bons Villers,Belgium,Nielsen IV
Lessen,Belgium,Nielsen IV
Lessines,Belgium,Nielsen IV
Leudal,Netherlands,Nielsen V
Leusden,Netherlands,Nielsen II
Leuven,Belgium,Nielsen II
Leuze-en-Hainaut,Belgium,Nielsen IV
Leyden,Netherlands,Nielsen II
Libin,Belgium,Nielsen V
Libramont-Chevigny,Belgium,Nielsen V
Lichtervelde,Belgium,Nielsen I
Liedekerke,Belgium,Nielsen II
Liège,Belgium,Nielsen V
Lier,Belgium,Nielsen II
Lierde,Belgium,Nielsen I
Lierneux,Belgium,Nielsen V
Lievegem,Belgium,Nielsen I
Lijsem,Belgium,Nielsen V
Lille,Belgium,Nielsen II
Limbourg,Belgium,Nielsen V
Limburg,Belgium,Nielsen V
Lincent,Belgium,Nielsen V
Lingewaard,Netherlands,Nielsen IV
Linkebeek,Belgium,Nielsen II
Lint,Belgium,Nielsen II
Linter,Belgium,Nielsen II
Lisse,Netherlands,Nielsen II
Lobbes,Belgium,Nielsen IV
Lochem,Netherlands,Nielsen IV
Lochristi,Belgium,Nielsen I
Lokeren,Belgium,Nielsen I
Lommel,Belgium,Nielsen II
Londerzeel,Belgium,Nielsen II
Lontzen,Belgium,Nielsen V
Loon op Zand,Netherlands,Nielsen V
Lopik,Netherlands,Nielsen II
Loppersum,Netherlands,Nielsen III
Lo-Reninge,Belgium,Nielsen I
Losser,Netherlands,Nielsen IV
Louvain,Belgium,Nielsen II
Lubbeek,Belgium,Nielsen II
Luik,Belgium,Nielsen V
Lummen,Belgium,Nielsen II
Maarkedal,Belgium,Nielsen I
Maasdriel,Netherlands,Nielsen IV
Maaseik,Belgium,Nielsen II
Maasgouw,Netherlands,Nielsen V
Maasmechelen,Belgium,Nielsen II
Maassluis,Netherlands,Nielsen II
Maastricht,Netherlands,Nielsen V
Machelen,Belgium,Nielsen II
Maldegem,Belgium,Nielsen I
Malle,Belgium,Nielsen II
Malmedy,Belgium,Nielsen V
Manage,Belgium,Nielsen IV
Manhay,Belgium,Nielsen V
Marche-en-Famenne,Belgium,Nielsen V
Marchin,Belgium,Nielsen V
Martelange,Belgium,Nielsen V
Mechelen,Belgium,Nielsen II
Medemblik,Netherlands,Nielsen II
Meerhout,Belgium,Nielsen II
Meerssen,Netherlands,Nielsen V
Meierijstad,Netherlands,Nielsen V
Meise,Belgium,Nielsen II
Meix-devant-Virton,Belgium,Nielsen V
Melle,Belgium,Nielsen I
Menen,Belgium,Nielsen I
Meppel,Netherlands,Nielsen III
Merbes-le-Château,Belgium,Nielsen IV
Merchtem,Belgium,Nielsen II
Merelbeke,Belgium,Nielsen I
Merksplas,Belgium,Nielsen II
Mesen,Belgium,Nielsen I
Messancy,Belgium,Nielsen V
Mettet,Belgium,Nielsen V
Meulebeke,Belgium,Nielsen I
Middelburg,Netherlands,Nielsen V
Middelkerke,Belgium,Nielsen I
Midden-Delfland,Netherlands,Nielsen II
Midden-Drenthe,Netherlands,Nielsen III
Midden-Groningen,Netherlands,Nielsen III
Mill en Sint Hubert,Netherlands,Nielsen V
Modave,Belgium,Nielsen V
Moerbeke,Belgium,Nielsen I
Moerdijk,Netherlands,Nielsen V
Moeskroen,Belgium,Nielsen IV
Mol,Belgium,Nielsen II
Molenbeek-Saint-Jean,Belgium,Nielsen III
Molenlanden,Netherlands,Nielsen II
Momignies,Belgium,Nielsen IV
Mons,Belgium,Nielsen IV
Mont-de-l'Enclus,Belgium,Nielsen IV
Montferland,Netherlands,Nielsen IV
Montfoort,Netherlands,Nielsen II
Montigny-le-Tilleul,Belgium,Nielsen IV
Mont-Saint-Guibert,Belgium,Nielsen IV
Mook en Middelaar,Netherlands,Nielsen V
Moorslede,Belgium,Nielsen I
Morlanwelz,Belgium,Nielsen IV
Mortsel,Belgium,Nielsen II
Mouscron,Belgium,Nielsen IV
Musson,Belgium,Nielsen V
Naarden,Netherlands,Nielsen II
Namen,Belgium,Nielsen V
Namur,Belgium,Nielsen V
Nandrin,Belgium,Nielsen V
Nassogne,Belgium,Nielsen V
Nazareth,Belgium,Nielsen I
Neder-Betuwe,Netherlands,Nielsen IV
Nederlek,Netherlands,Nielsen I
Nederweert,Netherlands,Nielsen V
Neufchâteau,Belgium,Nielsen V
Neupré,Belgium,Nielsen V
Niel,Belgium,Nielsen II
Nieuwegein,Netherlands,Nielsen II
Nieuwerkerken,Belgium,Nielsen II
Nieuwkoop,Netherlands,Nielsen II
Nieuw-Lekkerland,Netherlands,Nielsen II
Nieuwpoort,Belgium,Nielsen I
Nijkerk,Netherlands,Nielsen IV
Nijlen,Belgium,Nielsen II
Nijmegen,Netherlands,Nielsen IV
Nijvel,Belgium,Nielsen IV
Ninove,Belgium,Nielsen I
Nissewaard,Netherlands,Nielsen II
Nivelles,Belgium,Nielsen IV
Noardeast-Fryslân,Netherlands,Nielsen III
Noord-Beveland,Netherlands,Nielsen V
Noordenveld,Netherlands,Nielsen III
Noordoostpolder,Netherlands,Nielsen IV
Noordwijkerhout,Netherlands,Nielsen II
Noordwijk,Netherlands,Nielsen II
Nootdorp,Netherlands,Nielsen II
"Nuenen, Gerwen en Nederwetten",Netherlands,Nielsen V
Nunspeet,Netherlands,Nielsen IV
Oegstgeest,Netherlands,Nielsen II
Oerle,Belgium,Nielsen V
Ohey,Belgium,Nielsen V
Oirschot,Netherlands,Nielsen V
Oisterwijk,Netherlands,Nielsen V
Oldambt,Netherlands,Nielsen III
Oldebroek,Netherlands,Nielsen IV
Oldenzaal,Netherlands,Nielsen IV
Olen,Belgium,Nielsen II
Olne,Belgium,Nielsen V
Olst-Wijhe,Netherlands,Nielsen IV
Ommen,Netherlands,Nielsen IV
Onhaye,Belgium,Nielsen V
Oostende,Belgium,Nielsen I
Oosterhout,Netherlands,Nielsen V
Oosterzele,Belgium,Nielsen I
Oost Gelre,Netherlands,Nielsen IV
Lichtenvoorde,Netherlands,Nielsen IV
Oostkamp,Belgium,Nielsen I
Oostrozebeke,Belgium,Nielsen I
Ooststellingwerf,Netherlands,Nielsen III
Oostzaan,Netherlands,Nielsen II
Opmeer,Netherlands,Nielsen II
Opsterland,Netherlands,Nielsen III
Opwijk,Belgium,Nielsen II
Opzullik,Belgium,Nielsen IV
Oreye,Belgium,Nielsen V
Orp-Jauche,Belgium,Nielsen IV
Oss,Netherlands,Nielsen V
Ostend,Belgium,Nielsen I
Ottignies-Louvain-la-Neuve,Belgium,Nielsen IV
Oud-Beijerland,Netherlands,Nielsen II
Oude IJsselstreek,Netherlands,Nielsen IV
Oudenaarde,Belgium,Nielsen I
Oudenburg,Belgium,Nielsen I
Ouder-Amstel,Netherlands,Nielsen I
Oudergem,Belgium,Nielsen III
Oudewater,Netherlands,Nielsen II
Oud-Heverlee,Belgium,Nielsen II
Oudsbergen,Belgium,Nielsen II
Oud-Turnhout,Belgium,Nielsen II
Ouffet,Belgium,Nielsen V
Oupeye,Belgium,Nielsen V
Overbetuwe,Netherlands,Nielsen IV
Overijse,Belgium,Nielsen II
Paliseul,Belgium,Nielsen V
Papendrecht,Netherlands,Nielsen II
Pecq,Belgium,Nielsen IV
Peel en Maas,Netherlands,Nielsen V
Peer,Belgium,Nielsen II
Pekela,Netherlands,Nielsen III
Pelt,Belgium,Nielsen II
Pepingen,Belgium,Nielsen II
Pepinster,Belgium,Nielsen V
Péruwelz,Belgium,Nielsen IV
Perwez,Belgium,Nielsen IV
Perwijs,Belgium,Nielsen IV
Philippeville,Belgium,Nielsen V
Pijnacker,Netherlands,Nielsen II
Pijnacker-Nootdorp,Netherlands,Nielsen II
Pittem,Belgium,Nielsen I
Plombières,Belgium,Nielsen V
Pont-à-Celles,Belgium,Nielsen IV
Poperinge,Belgium,Nielsen I
Profondeville,Belgium,Nielsen V
Purmerend,Netherlands,Nielsen II
Putte,Belgium,Nielsen II
Putten,Netherlands,Nielsen IV
Puurs,Belgium,Nielsen II
Puurs-Sint-Amands,Belgium,Nielsen II
Quaregnon,Belgium,Nielsen IV
Quévy,Belgium,Nielsen IV
Quiévrain,Belgium,Nielsen IV
Raalte,Netherlands,Nielsen IV
Raeren,Belgium,Nielsen V
Ramillies,Belgium,Nielsen IV
Ranst,Belgium,Nielsen II
Ravels,Belgium,Nielsen II
Rebecq,Belgium,Nielsen IV
Reimerswaal,Netherlands,Nielsen V
Remicourt,Belgium,Nielsen V
Rendeux,Belgium,Nielsen V
Renkum,Netherlands,Nielsen IV
Renswoude,Netherlands,Nielsen II
Retie,Belgium,Nielsen II
Reusel-De Mierden,Netherlands,Nielsen V
Rheden,Netherlands,Nielsen IV
Rhenen,Netherlands,Nielsen II
Ridderkerk,Netherlands,Nielsen I
Riemst,Belgium,Nielsen II
Rijkevorsel,Belgium,Nielsen II
Rijssen-Holten,Netherlands,Nielsen IV
Rijswijk,Netherlands,Nielsen I
Rixensart,Belgium,Nielsen IV
Roche-en-Ardenne,Belgium,Nielsen V
Rochefort,Belgium,Nielsen V
Roerdalen,Netherlands,Nielsen V
Roermond,Netherlands,Nielsen V
Roeselare,Belgium,Nielsen I
Ronse,Belgium,Nielsen I
Roosdaal,Belgium,Nielsen II
Roosendaal,Netherlands,Nielsen V
Rosmalen,Netherlands,Nielsen V
Rotselaar,Belgium,Nielsen II
Rotterdam,Netherlands,Nielsen I
Rouvroy,Belgium,Nielsen V
Rozendaal,Netherlands,Nielsen IV
Rucphen,Netherlands,Nielsen V
Ruiselede,Belgium,Nielsen I
Rumes,Belgium,Nielsen IV
Rumst,Belgium,Nielsen II
Sainte-Ode,Belgium,Nielsen V
Saint-Georges-sur-Meuse,Belgium,Nielsen V
Saint-Ghislain,Belgium,Nielsen IV
Saint-Hubert,Belgium,Nielsen V
Saint-Léger,Belgium,Nielsen V
Saint-Nicolas,Belgium,Nielsen V
Saint-Vith,Belgium,Nielsen V
Sambreville,Belgium,Nielsen V
Sankt Vith,Belgium,Nielsen V
Schaarbeek,Belgium,Nielsen III
Schagen,Netherlands,Nielsen II
Schelle,Belgium,Nielsen II
Scherpenheuvel-Zichem,Belgium,Nielsen II
Scherpenzeel,Netherlands,Nielsen IV
Schiedam,Netherlands,Nielsen I
Schiermonnikoog,Netherlands,Nielsen III
Schijndel,Netherlands,Nielsen V
Schilde,Belgium,Nielsen II
Schoonhoven,Netherlands,Nielsen II
Schoten,Belgium,Nielsen II
Schouwen-Duiveland,Netherlands,Nielsen V
Seneffe,Belgium,Nielsen IV
Seraing,Belgium,Nielsen V
's-Gravenbrakel,Belgium,Nielsen IV
's-Hertogenbosch,Netherlands,Nielsen V
Silly,Belgium,Nielsen IV
Simpelveld,Netherlands,Nielsen V
Sint-Agatha-Berchem,Belgium,Nielsen III
Sint Anthonis,Netherlands,Nielsen V
Sint-Genesius-Rode,Belgium,Nielsen II
Sint-Gillis,Belgium,Nielsen III
Sint-Gillis-Waas,Belgium,Nielsen I
Sint-Jans-Molenbeek,Belgium,Nielsen III
Sint-Joost-ten-Node,Belgium,Nielsen III
Sint-Katelijne-Waver,Belgium,Nielsen II
Sint-Lambrechts-Woluwe,Belgium,Nielsen III
Sint-Laureins,Belgium,Nielsen I
Sint-Lievens-Houtem,Belgium,Nielsen I
Sint-Martens-Latem,Belgium,Nielsen I
Sint-Michielsgestel,Netherlands,Nielsen V
Sint-Niklaas,Belgium,Nielsen I
Sint-Oedenrode,Netherlands,Nielsen V
Sint-Pieters-Leeuw,Belgium,Nielsen II
Sint-Pieters-Woluwe,Belgium,Nielsen III
Sint-Truiden,Belgium,Nielsen II
Sittard-Geleen,Netherlands,Nielsen V
Sittard,Netherlands,Nielsen V
Sivry-Rance,Belgium,Nielsen IV
Sliedrecht,Netherlands,Nielsen II
Slochteren,Netherlands,Nielsen III
Sluis,Netherlands,Nielsen V
Smallingerland,Netherlands,Nielsen III
Sneek,Netherlands,Nielsen III
Soest,Netherlands,Nielsen II
Soignies,Belgium,Nielsen IV
Sombreffe,Belgium,Nielsen V
Someren,Netherlands,Nielsen V
Somme-Leuze,Belgium,Nielsen V
Son en Breugel,Netherlands,Nielsen V
Soumagne,Belgium,Nielsen V
Spa,Belgium,Nielsen V
Spiere-Helkijn,Belgium,Nielsen I
Spijkenisse,Netherlands,Nielsen II
Sprimont,Belgium,Nielsen V
Stabroek,Belgium,Nielsen II
Staden,Belgium,Nielsen I
Stadskanaal,Netherlands,Nielsen III
Staphorst,Netherlands,Nielsen IV
Stavelot,Belgium,Nielsen V
Stede Broec,Netherlands,Nielsen II
Steenbergen,Netherlands,Nielsen V
Steenokkerzeel,Belgium,Nielsen II
Steenput,Belgium,Nielsen IV
Steenwijkerland,Netherlands,Nielsen IV
Steenwijk,Netherlands,Nielsen IV
Stein,Netherlands,Nielsen V
Stekene,Belgium,Nielsen I
Stichtse Vecht,Netherlands,Nielsen II
Maarssen,Netherlands,Nielsen II
Stoumont,Belgium,Nielsen V
Sudwest Fryslan,Netherlands,Nielsen III
Súdwest Fryslân,Netherlands,Nielsen III
Súdwest-Fryslân,Netherlands,Nielsen III
Tellin,Belgium,Nielsen V
Temse,Belgium,Nielsen I
Ten Boer,Netherlands,Nielsen III
Tenneville,Belgium,Nielsen V
Terhulpen,Belgium,Nielsen IV
Ternat,Belgium,Nielsen II
Terneuzen,Netherlands,Nielsen V
Terschelling,Netherlands,Nielsen III
Tervuren,Belgium,Nielsen II
Tessenderlo,Belgium,Nielsen II
Texel,Netherlands,Nielsen II
Teylingen,Netherlands,Nielsen II
The Hague,Netherlands,Nielsen I
Theux,Belgium,Nielsen V
Thimister-Clermont,Belgium,Nielsen V
Tholen,Netherlands,Nielsen V
Thuin,Belgium,Nielsen IV
Tiel,Netherlands,Nielsen IV
Tielt,Belgium,Nielsen I
Tielt-Winge,Belgium,Nielsen II
Tienen,Belgium,Nielsen II
Tietjerksteradeel,Netherlands,Nielsen III
Tilburg,Netherlands,Nielsen V
Tinlot,Belgium,Nielsen V
Tintigny,Belgium,Nielsen V
Tongeren,Belgium,Nielsen II
Torhout,Belgium,Nielsen I
Tournai,Belgium,Nielsen IV
Tremelo,Belgium,Nielsen II
Trois-Ponts,Belgium,Nielsen V
Trooz,Belgium,Nielsen V
Tubbergen,Netherlands,Nielsen IV
Tubeke,Belgium,Nielsen IV
Tubize,Belgium,Nielsen IV
Turnhout,Belgium,Nielsen II
Twenterand,Netherlands,Nielsen IV
Tynaarlo,Netherlands,Nielsen III
Uden,Netherlands,Nielsen V
Uitgeest,Netherlands,Nielsen II
Uithoorn,Netherlands,Nielsen II
Ukkel,Belgium,Nielsen III
Urk,Netherlands,Nielsen IV
Utrecht,Netherlands,Nielsen II
Utrechtse Heuvelrug,Netherlands,Nielsen II
Vaals,Netherlands,Nielsen V
Valkenburg aan de Geul,Netherlands,Nielsen V
Valkenswaard,Netherlands,Nielsen V
Vaux-sur-Sûre,Belgium,Nielsen V
Veendam,Netherlands,Nielsen III
Veenendaal,Netherlands,Nielsen II
Veere,Netherlands,Nielsen V
Veghel,Netherlands,Nielsen V
Veldhoven,Netherlands,Nielsen V
Velsen,Netherlands,Nielsen II
IJmuiden,Netherlands,Nielsen II
Venlo,Netherlands,Nielsen V
Venray,Netherlands,Nielsen V
Verlaine,Belgium,Nielsen V
Verviers,Belgium,Nielsen V
Veurne,Belgium,Nielsen I
Vianen,Netherlands,Nielsen II
Vielsalm,Belgium,Nielsen V
Vijfheerenlanden,Netherlands,Nielsen II
Villers-la-Ville,Belgium,Nielsen IV
Villers-le-Bouillet,Belgium,Nielsen V
Vilvoorde,Belgium,Nielsen II
Viroinval,Belgium,Nielsen V
Virton,Belgium,Nielsen V
Visé,Belgium,Nielsen V
Vlaardingen,Netherlands,Nielsen II
Vleteren,Belgium,Nielsen I
Vlieland,Netherlands,Nielsen III
Vlissingen,Netherlands,Nielsen V
Vloesberg,Belgium,Nielsen IV
Voeren,Belgium,Nielsen II
Voerendaal,Netherlands,Nielsen V
Voorburg,Netherlands,Nielsen I
Voorschoten,Netherlands,Nielsen II
Voorst,Netherlands,Nielsen IV
Vorselaar,Belgium,Nielsen II
Vorst,Belgium,Nielsen III
Vosselaar,Belgium,Nielsen II
Vresse-sur-Semois,Belgium,Nielsen V
Vught,Netherlands,Nielsen V
Waadhoeke,Netherlands,Nielsen III
Waalre,Netherlands,Nielsen V
Waalwijk,Netherlands,Nielsen V
Waasmunster,Belgium,Nielsen I
Wachtebeke,Belgium,Nielsen I
Waddinxveen,Netherlands,Nielsen II
Wageningen,Netherlands,Nielsen IV
Waimes,Belgium,Nielsen V
Walcourt,Belgium,Nielsen V
Walhain,Belgium,Nielsen IV
Wanze,Belgium,Nielsen V
Waregem,Belgium,Nielsen I
Waremme,Belgium,Nielsen V
Wasseiges,Belgium,Nielsen V
Wassenaar,Netherlands,Nielsen I
Wateringen,Netherlands,Nielsen I
Waterland,Netherlands,Nielsen II
Waterloo,Belgium,Nielsen IV
Watermaal-Bosvoorde,Belgium,Nielsen III
Waver,Belgium,Nielsen IV
Wavre,Belgium,Nielsen IV
Weert,Netherlands,Nielsen V
Weesp,Netherlands,Nielsen II
Weismes,Belgium,Nielsen V
Welkenraedt,Belgium,Nielsen V
Wellen,Belgium,Nielsen II
Wellin,Belgium,Nielsen V
Wemmel,Belgium,Nielsen II
Werkendam,Netherlands,Nielsen V
Wervik,Belgium,Nielsen I
West Betuwe,Netherlands,Nielsen IV
Westerkwartier,Netherlands,Nielsen III
Westerlo,Belgium,Nielsen II
Westerveld,Netherlands,Nielsen III
Westervoort,Netherlands,Nielsen IV
Westerwolde,Netherlands,Nielsen III
Westland,Netherlands,Nielsen II
West Maas en Waal,Netherlands,Nielsen IV
Weststellingwerf,Netherlands,Nielsen III
Westvoorne,Netherlands,Nielsen II
Wetteren,Belgium,Nielsen I
Wevelgem,Belgium,Nielsen I
Wezembeek-Oppem,Belgium,Nielsen II
Wezet,Belgium,Nielsen V
Wichelen,Belgium,Nielsen I
Wielsbeke,Belgium,Nielsen I
Wierden,Netherlands,Nielsen IV
Wijchen,Netherlands,Nielsen IV
Wijdemeren,Netherlands,Nielsen II
Wijk bij Duurstede,Netherlands,Nielsen II
Wijnegem,Belgium,Nielsen II
Willebroek,Belgium,Nielsen II
Wingene,Belgium,Nielsen I
Winsum,Netherlands,Nielsen III
Winterswijk,Netherlands,Nielsen IV
Woensdrecht,Netherlands,Nielsen V
Woerden,Netherlands,Nielsen II
Wommelgem,Belgium,Nielsen II
Wormerland,Netherlands,Nielsen II
Wortegem-Petegem,Belgium,Nielsen I
Woudenberg,Netherlands,Nielsen II
Woudrichem,Netherlands,Nielsen V
Wuustwezel,Belgium,Nielsen II
Yvoir,Belgium,Nielsen V
Zaandam,Netherlands,Nielsen II
Zaanstad,Netherlands,Nielsen II
Zaltbommel,Netherlands,Nielsen IV
Zandhoven,Belgium,Nielsen II
Zandvoort,Netherlands,Nielsen II
Zaventem,Belgium,Nielsen II
Zedelgem,Belgium,Nielsen I
Zeewolde,Netherlands,Nielsen IV
Zeist,Netherlands,Nielsen II
Zele,Belgium,Nielsen I
Zelzate,Belgium,Nielsen I
Zemst,Belgium,Nielsen II
Zevenaar,Netherlands,Nielsen IV
Zinnik,Belgium,Nielsen IV
Zoersel,Belgium,Nielsen II
Zoetermeer,Netherlands,Nielsen II
Zoeterwoude,Netherlands,Nielsen II
Zonhoven,Belgium,Nielsen II
Zonnebeke,Belgium,Nielsen I
Zottegem,Belgium,Nielsen I
Zoutleeuw,Belgium,Nielsen II
Zuidhorn,Netherlands,Nielsen III
Zuidplas,Netherlands,Nielsen II
Zuienkerke,Belgium,Nielsen I
Zulte,Belgium,Nielsen I
Zundert,Netherlands,Nielsen V
Zutendaal,Belgium,Nielsen II
Zutphen,Netherlands,Nielsen IV
Zwalm,Belgium,Nielsen I
Zwartewaterland,Netherlands,Nielsen IV
Zwevegem,Belgium,Nielsen I
Zwijndrecht,Belgium,Nielsen II
Zwijndrecht,Netherlands,Nielsen II
Zwolle,Netherlands,Nielsen IV
Parkstad,Netherlands,Nielsen V
